No,Tren_Harga,Broker_Summary,Volume_Transaksi,Status_Orderbook,Keputusan
907,Sideways,Distribusi,Rendah,Kuat Bid,Wait
908,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
909,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
910,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
911,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
912,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
913,Sideways,Netral,Rendah,Kuat Bid,Wait
914,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
915,Downtrend,Netral,Rendah,Kuat Bid,Wait
916,Downtrend,Netral,Rendah,Kuat Offer,Wait
917,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
918,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
919,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
920,Sideways,Distribusi,Rendah,Kuat Offer,Wait
921,Uptrend,Netral,Tinggi,Kuat Bid,Buy
922,Sideways,Netral,Rendah,Kuat Offer,Wait
923,Uptrend,Netral,Tinggi,Kuat Bid,Buy
924,Uptrend,Netral,Tinggi,Kuat Bid,Buy
925,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
926,Downtrend,Netral,Rendah,Kuat Bid,Wait
927,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
928,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
929,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
930,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
931,Uptrend,Netral,Rendah,Kuat Offer,Wait
932,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
933,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
934,Downtrend,Netral,Rendah,Kuat Offer,Wait
935,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
936,Uptrend,Netral,Rendah,Kuat Bid,Buy
937,Uptrend,Netral,Tinggi,Kuat Offer,Buy
938,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
939,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
940,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
941,Downtrend,Netral,Rendah,Kuat Offer,Wait
942,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
943,Uptrend,Netral,Tinggi,Kuat Bid,Buy
944,Uptrend,Netral,Rendah,Kuat Bid,Buy
945,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
946,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
947,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
948,Uptrend,Netral,Rendah,Kuat Bid,Buy
949,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
950,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
951,Sideways,Distribusi,Rendah,Kuat Offer,Wait
952,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
953,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
954,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
955,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
956,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
957,Sideways,Netral,Tinggi,Kuat Offer,Wait
958,Sideways,Netral,Tinggi,Kuat Offer,Wait
959,Uptrend,Netral,Tinggi,Kuat Offer,Buy
960,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
961,Downtrend,Netral,Tinggi,Kuat Bid,Buy
962,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
963,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
964,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
965,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
966,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
967,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
968,Uptrend,Netral,Tinggi,Kuat Bid,Buy
969,Sideways,Netral,Rendah,Kuat Bid,Wait
970,Downtrend,Netral,Tinggi,Kuat Offer,Wait
971,Uptrend,Netral,Rendah,Kuat Bid,Buy
972,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
973,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
974,Downtrend,Netral,Rendah,Kuat Offer,Wait
975,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
976,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
977,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
978,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
979,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
980,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
981,Downtrend,Netral,Tinggi,Kuat Offer,Wait
982,Sideways,Distribusi,Rendah,Kuat Offer,Wait
983,Downtrend,Netral,Tinggi,Kuat Offer,Wait
984,Uptrend,Netral,Rendah,Kuat Bid,Buy
985,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
986,Downtrend,Netral,Rendah,Kuat Bid,Wait
987,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
988,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
989,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
990,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
991,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
992,Sideways,Distribusi,Rendah,Kuat Bid,Wait
993,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
994,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
995,Downtrend,Netral,Tinggi,Kuat Bid,Buy
996,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
997,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
998,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
999,Uptrend,Netral,Tinggi,Kuat Bid,Buy
1000,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
